そして25日夜から微熱が4日間続いた。	そして25日の夜から微熱が4日続きました。
3回目は血痰や肺炎を引き起こしたためアバスチンは使えなくなり、シスプラチン＋アリムタの2種類になった。	３回目は血痰を吐いたり肺炎をおこした為アバスチンは使えないとシスプラチン＋アリムタの２種類に。
再度肺陰影が薄くなり、酸素投与0.5リットルで酸素飽和度が97パーセントまで上昇した。	またまた影が薄くなり酸素も0、5リットルで97まで上がるようになりました～。
副作用は下痢、口内炎、吐き気、食欲不振があった。	副作用は下痢、口内炎、吐き気、食欲不振。
その後微熱が続き、3週間目に次の抗がん剤治療を開始できなかった。	それから微熱がずっと続いてまた３週間目には次の抗がん剤治療が出来なかった。
ファーストラインの時より体力低下があるためか、点滴中から頭痛と倦怠感が出ている。	ファーストラインの時より体力低下してるからか、点滴中から頭痛と倦怠感。
トイレに行くとめまい感が出た。	トイレに行くと眩暈が。
頭部から頸部にかけて痒疹が出現。	頭部～首～頸部に痒み、発疹発症。
副作用の発疹が塗り薬や内服薬ではコントロールできず、回復が遅い。	副作用としての発疹が塗薬、内服薬にてコントロール出来ず、回復遅く。
倦怠感、食欲低下、胃腸の調子の低下により、ほとんど横になったまま過ごす。	怠さ、食欲減、腹の調子低下により、殆ど横になったまま過ごす。
20時現在、吐き気はない。	今、２０時現在、吐き気はありません。
3日目には食欲不振になり、下痢気味になった。	三日目には食欲が少し落ちて、下痢気味に。
夜、37.8度の発熱と関節痛があった。	夜には37.8度の発熱と節々の痛みがありました。
翌日、発熱と関節痛は治まっていた。	翌日には熱も痛みも治まっていました。
その後2日ほど微熱が続いた。	その後二日ほど微熱が続きましたが。
しかし、血液検査では著しい白血球減少が見られた。	しかし、血液検査では白血球がダダ下がり。
ジーラスタ注射当日の夜以降、全身が神経過敏になっている。	ジーラスタ注射の夜から全身神経がピリピリと敏感になった感じ。
そして時には陣痛のような腰痛がある。	そして時には陣痛のような腰痛が。
気分不良のため一日中横になって過ごす。	気分が悪く１日横になる。
（昼・夕とも食欲不振）	（昼・夕食べられず）
気分不良のため一日横になる（食欲不振）。	気分が悪く１日横になる（食欲不振）。
気分不良のため一日横になる。	気分が悪く１日横になる。
たび重なる下痢のため、痔を発症。	痔（たび重なる下痢の為、発症）。
便秘（激しい下痢の後数日間は便秘になる）。	便秘（激しい下痢後の数日間は便秘）。
普段は夜パソコンで情報収集をするが、シスプラチンによる倦怠感が現在も続いているため、していない。	いつもならパソコンの前で夜な夜な情報をあさるのに今でもシスの倦怠感のお陰でしてません。
副作用に反射運動能力の低下、眠気、めまい感があるので、自己判断である。	副作用として反射運動能力の低下、眠気、めまいがあるので、自己判断ですが、、、。
9月19日、外来で脳転移の告知を受ける。	9/19、外来にて脳転移の旨告げられる。
金曜日の点滴後、今日まで食事がほとんどとれず、疼痛も悪化し、何もできていない。	金曜日に点滴を受け、本日までほとんど食事はとれず、疼痛も増大し、何もできておりません。
ミノマイシンを2日服用しないと爪囲炎が悪化するため、現在は毎日内服している。	爪囲炎は、ミノマイシンを２日飲まないと悪化するので、今は毎日飲んでますよ。
咽頭違和感がある。	喉の詰まりと言うか、違和感が有って、いつも喉に何かが引っ掛かってる感じで、たまにゲップがしずらい。
満月様顔貌は少し改善したようだが、目の周囲が赤らいで酔っている感覚は変化なし。	ムーンフェイスは、少しましになったようですが、目のまわりが赤らいで酔っている感覚は変化なし。
また、シスプラチンの副作用による耳鳴と難聴がひどく、嗄声もひどいため、2剤併用に切り替えることになった。	かつ、シスプラチンの副作用である耳鳴り、難聴がひどく、声枯れもひどいため、2剤併用に切り替えることになりました。
ここ数日で口内炎が悪化した。	この数日、口内炎が発達した。
胃腸の調子も、下痢とその手前の綱渡りが続いている。	お腹の調子も、下痢とその手前の綱渡りが続いてます。
ドセタキセルは骨髄抑制が出やすいと聞いていたが、1クール目で白血球減少があり、2クール目では減量しての投与となっていた。	ドセタキセルは骨髄抑制が出やすいとは聞いていたのですが、1クール目で見事に白血球、好中球ともに下がり、2クール目は減量しての投与となっていました。
1回目で肝機能悪化があり、2回目はアリムタが減量となった。	1回目で肝機能が悪化したので、2回目はアリムタ減量となりました。
前日から制吐剤オランザピンの服用を開始し、1回目に比べ、吐き気もいくらか軽減し、抑うつ気分にはならずに済んだ。	吐き気どめのオランザピンも前日から服用を開始し、1回目に比べると吐き気も幾分か改善して、死にたくなるような暗い気分にはならずに済みました。
治療前に比べ、悪性腫瘍が縮小していた。	本当に治療前に比べると小さくなってました。
脳転移や骨転移も無い。	脳や骨への転移も無しです。
白血球減少もあり、また、インフルエンザ患者が多数やって来る。	白血球も下がっているし、インフルエンザの患者さんは沢山来るし。
以前アリムタ投与時に1週間ほど吐き気が続いたことを心配された。	以前、アリムタ投与した時に、一週間位、吐き気が続いたのを心配して下さり。
耳鳴の回数も減少している。	マ～耳鳴りの回数も減っています。
3週3回目の抗がん剤治療の予定だったが、白血球減少があった。	３週３回目でしたが、白血球の数値足りず。
それ以外の副作用については、吐き気もほぼなく、下痢も許容範囲、体質に合ったのか利尿作用でリンパ浮腫も解消した。	それ以外の副作用、吐き気もほぼなく、下痢も許容範囲、私の元の体質に合っていたのか利尿作用が幸いなことにリンパ浮腫スッキリ。
終日放屁があった。	1日屁こき虫だったくらい。
ここからはシスプラチンによる倦怠感、意気消沈等、副作用の一部としてぼやかせてほしい。	無理に気分を高める一方でここからはシスプラチンの倦怠感、沈む心副作用の一部としてボヤかせて。
「あの薬を飲むと胃痛が悪化する。」	「あれ飲むと胃が荒れて、もっと痛くなっちゃう。
1本目にデカドロンを点滴しているため、吐き気はない。	１本目にデカドロンも点滴しているので、吐き気もなく。
痒疹は改善せず、痒み止めの薬が効かなくなると、パニック状態のように掻きまくる。	皮膚の発疹と痒みは改善せず、痒み止めの薬が効かなくなると、もうパニック状態のごとく掻きまくります。
舌に違和感があるが、前回のように赤く腫れて痛みが出るほどではない。	舌に違和感はあるものの前回のように赤く腫れて痛みが出るところまではいってません。
耳鳴は以前よりも悪化。	耳鳴り前より酷くなってきた。
便秘は前回より軽い。	便秘前回より軽い。
嬉しいのは頭痛がなかったことである。	嬉しいのは頭痛がなかった。
カルボプラチンの時は投与当日から頭痛があった。	カルボプラチンの時は打ったその日から頭痛があったので。
ほかには、肝機能障害が出てきた。	あとは肝機能の数値が上がってきました。
開始直後、全身から汗が吹き出し、吐き気を伴なう気分の悪さと激しい咳嗽に襲われたが、その後落ち着いてからは、やはり基本的に暇である。	開始直後、全身から汗が吹き出してきて、一気に吐き気を伴なう気分の悪さと、激しい咳に襲われた時、そうではなかったですが、その後落着いてきてからは、やっぱり基本的にヒマです。
また、リンパ転移が少し縮小していると言われた。	あと、リンパ転移が少し小さくなってるって言ってもらえました。
投与後2～3日目以降1～2週間、倦怠感があった。	投与後二日か三日目から一週間から二週間しんどかったのが。
投与後2～6日目頃まで倦怠感が続いた。	投与後二日目から六日目くらいまでしんどかったです。
2日目から昨日までの4日間は、ひどい吐き気があった。	２日目から昨日までの４日間ヤバいくらいの吐き気。
しかし、今回はもともと風邪気味だったためか、何かするたびに動悸がする。	しかし今回はもともと風邪気味だったせいか何か一つするたび動悸がする。
満月様顔貌は、昨日よりさらに改善している。	ムーンフェイス、昨日よりまたマシになってます。
咳嗽もだいぶ緩和されてきた気がする。	咳もだいぶ楽になってきた気がします。
3剤併用の副作用には、1.鼻出血、2.耳鳴、3.低音域や高音域はうるさく聞こえるのに人の話し声が聞こえにくい、4.易疲労感、5.治療後3日間はしゃっくりがひどい、等の症状がある。	3剤併用の副作用としては、1.鼻血が出る2.耳鳴りがひどい3.低音域、高音域はうるさく聞こえるのに、人の普通の話声が聞こえにくい4.疲れやすい5.治療後3日間は、しゃっくりがひどい。
平成28年4月、脳腫瘍、仙骨への骨転移があり、放射線治療のため入院。	平成28年４月には脳に腫瘍、仙骨に転移で放射線治療のために入院。
顔面浮腫は昨日から大きな変化なし。	顔の浮腫みは、昨日と大きな変化なし。
倦怠感も大差ないが、座位からの立ち上がりは、要領を得たからか幾分楽にできるようになった。	倦怠感も大差なしだが、座った状態から立ち上がる時、要領を得たからかわからないが、幾分楽に出来るようになった。
顔面浮腫も変わらない。	顔のむくみも変わらずである。
食欲不振のため完食できなかった。	食欲なく完食できなかった。
脱毛症や吐き気等の副作用は出ず、少量で効果が出た。	脱毛や、吐き気などの副作用がなく、少量で効果がでてくれた。
血圧低下のような倦怠感が続き、7回目の点滴は、危ない気がしたため、かなり悩んだが、断念した。	血の気引くような、心身がだるく自分でコントロールできない感じが続いていて7回目点滴したら、やばそうな感覚だったので凄く悩んだけど、断念。
5月以降、シスプラチン＋アリムタ＋アバスチン（白血球減少のため2回で終了）	5月〜シスプラチン＋アリムタ＋アバスチン（白血球が足りなく2回で終了。
12月、アリムタ＋アバスチン（好中球減少症のため6回で終了）	12月、アリムタ＋アバスチン（好中球数が足りず6回で終了。
制吐剤のセロトーンで2回続けて発疹が出たため、カイトリルに変更された。	吐き気止めのセロトーンで２回続けて発疹が出てしまったので、カイトリルに変わった。
制吐剤ゾフランは吐き気に全く効かない。	吐き気止めの薬ゾフランは全く効かない。
そして、食欲不振、吐き気について相談した。	それから、食欲不振、吐き気を相談。
体重減少と体力低下がある。	ほんと、痩せたし体力落ちちゃった。
いつの間にか、手先に2〜3ミリの皮膚亀裂が出来ている。	手先に2〜3ミリの皮膚の亀裂が、いつの間にか出来ているのです。
点滴中、悪寒と眠気に襲われた。	点滴中、寒気と眠気が襲いかかり。
アレルギー反応も出ず、無事終了。	アレルギー反応もなく無事終了。
副作用は、1、2回目同様、数日間の便秘と1週間弱の食欲不振であった。	副作用は、1.2回目同様、数日間の便秘と1週間弱の食欲不振。
もちろん倦怠感や易疲労感はあったが、仕事に行けないほどではなく毎日通勤できた。	もちろんダルさがあったり疲れやすかったりはしましたが、仕事行けないほどでもなく毎日通勤できました。
白血球減少はなかった。	白血球は問題なし。
肝機能障害が出た。	肝臓が数値が高くて。
血痰が昨年から治まらない。	血の血痰の量が去年から収まらず。
以前使っていたタルセバの副作用による皮疹跡とシスプラチンの副作用による色素沈着を診てもらっている。	皮疹跡（前のタルセバの副作用）&お肌真っ黒の件（シスプラチンの副作用）を診てもらってるのです。
8月15日、抗がん剤投与2日目、夕方から吐き気がしてきた。	８月１５日、抗がん剤投与から２日目の夕方から吐き気がしてきました。
副作用は強い吐き気と脱毛症である。	副作用は強い吐き気と脱毛。
現在は、今までで一番ひどい倦怠感と食欲不振に悩まされている。	今は、今までで一番ひどい倦怠感と食欲不振に悩まされています。
2階まで階段を上がるだけで、咳嗽のために嘔吐することもある。	２階まで上がるだけでもぜーぜーせき込み過ぎて吐くこともあります。
本来なら白金製剤との併用だが、シスプラチンでアレルギーが出現しており、夏の食欲不振の時期にさらなる食欲減退を避けたいと考えた。	本当ならば白金製剤との併用であるが私はシスプラチンでアレルギーを起こしていることと夏に向かって食欲がないときにさらに食欲がなくなる事は避けたいと考えた。
そして今日、アレルギー反応は出現せず、再治療が開始された。	そして今日アレルギーも出ることなく再治療が始められました。
倦怠感と眠気が強い。	身体のだるさと眠気にやられている。
頭痛も少しある。	頭痛も少しあるし、、、。
満月様顔貌も顔面にも、何も変化はない。	ムーンフェイスも顔面にも、なんら変化なし。
抗がん剤治療後の研修の際は眠気が強かった。	抗がん剤治療の後で研修の眠かったこと。
アバスチンが勝っているのか、また便秘傾向になった。	アバスチンが勝っているのか、また便秘傾向になりました。
吐き気は今も続いている。	吐き気とムカムカは今も続いています。
特にアレルギー反応やショック症状も起こらない。	特にアレルギー反応やショック症状も起きない。
ザーコリ(クリゾチニブ)内服時にひどい味覚障害が出た。	ザーコリ(クリゾチニブ)を飲んでいた時に酷い味覚障害になりました。
食欲不振になる。	食欲はなくなる。
嘔吐、嘔気、味覚異常があるため、食事もままならない。	嘔吐、ムカムカ、味覚異常で食事もままならない。
普段は食い意地の張っている私だが、嘔気があり、食事がとれない。	基本食い意地の張っている私だが、口に含んだだけで、嘔吐が付きそうで食べれない。
昨日は耳閉感が両耳に現れ、頭痛も出現した。	昨日は、耳閉間が両耳に現れ、頭痛も出現した。
高血圧になっているが、それもアバスチンによくある副作用だそうだ。	血圧が高くなっており、これもアバスチンによくあることだと。
足部痛、関節痛、吐き気、さらに便秘がある。	足底の痛みに関節痛に吐き気に、おまけの便秘。
顔面浮腫は昨日から大きな変化はない。	顔の浮腫みは、昨日と大きな変化なし。
倦怠感も大差ない。	倦怠感も大差なし。
午後4時すぎに目覚めたが、倦怠感があり、夕食の準備のためにどうにか起きてスーパーへ向かった。	4時すぎに目覚めるも、倦怠感に押され結局、夕食の準備にかられてなんとか起きてスーパーへ向かう。
昨日のピシバニールの副反応で、37度台後半の発熱がある。	昨日のピシバニールの副反応で熱が37度台後半出ている。
倦怠感が強い。	身体がだるくてしょうがない。
自覚症状として倦怠感と悪心がまだ少しあること、白血球減少や肝機能障害が出ていることから、次回治療は4週間後を主治医から提案された。	自覚症状（倦怠感とムカムカ）がまだ少しあるのと、白血球少し低く肝機能高いため、次回は4週間後にしたらって超優しい私の主治医は言った。
早めのポート留置を勧められたが、脱毛症や色素沈着が出たり、足に湿疹が出たりと、見た目の変化が激しい。	本当は早めのポートを勧められたんだけど、ハゲたり、ガングロになったり、足がブツブツになったりと見た目の変化が激しい私。
今日は朝から悪心と倦怠感があるので、これから昼寝をする。	今日は朝からムカムカと倦怠感がいらっしゃいましたので、これからお昼寝してみまーす。
加えて、嗄声がある。	と、若干の声ガレ。
関節痛がある。	関節痛キシキシ～。
夕方からひどい腰痛と全身の神経痛が出始める。	調子に乗って夕方からひどい腰痛と全身の神経痛が出てくる。
食欲不振である。	食欲も一切出ず。
夜、全身の痛みが引くと同時に吐き気が出始めた。	晩から全身の痛みが引くと同時に吐き気が催してくる。
食欲不振で水も飲めず、点滴を受けている。	水も飯も受け付けず、点滴中。
少し気分不良ではあるが、吐き気はない。	少し気分の悪さが残っているが吐き気はない。
最近の副作用は、顔面湿疹が過去最悪の状態である。	最近の副作用は、顔面の湿疹が過去最悪になっています。
ロコイド等、軟膏で対処しているが、一向に改善しない。	ロコイドなど軟膏でメンテはしているつもりですが一向に改善されず。
最近、治療後の吐き気が辛くなった。	そういえば、最近、治療後の吐き気が辛くなったような。
翌日から倦怠感、関節痛、筋肉痛が出始めた。	翌日から倦怠感、関節痛、筋肉痛が始まり。
当初説明されていた、吐き気・発熱・便秘等はない。	当初説明されていた、吐き気、発熱、便秘などはなく。
翌日から疲労感と脱力感が出てきた。	その翌日から疲労感、脱力感が出始めた。
点滴後2～3日目頃までは、軽度の吐き気がある。	点滴後2～3日目くらいまでは軽度の吐き気がある。
点滴後5日目頃までは、軽度の食欲不振、胃もたれ感がある。	点滴後5日目くらいまでは軽度の食欲不振、胃もたれがある。
食欲不振ではあるが、食べられないことはない。	食欲は減るが、食べれないことはない。
点滴後、常に便秘の副作用がある。	点滴後、常に便秘の副作用がある。
下剤の影響で下痢になることも多い。	下剤の影響で下痢になることも多い。
点滴後5日目頃までは、倦怠感がある。	点滴後、5日目くらいまでは倦怠感がある。
血液検査では白血球減少と血小板減少が出ており、肝機能、腎機能、カリウム値等、基準値外の項目があったが、許容範囲内であり、自覚症状もない。	血液検査では白血球や血小板の減少や、肝臓や腎臓、カリウムなどの値が基準外となることがあるが、許容範囲内で自覚症状もない。
吐き気はまだ出ていない。	吐き気は、まだ出てこないです。
これで便秘が治まるかもしれない。	ああ、これで便秘からは免れるやもしれぬー。
幸い吐き気や食欲不振はなかったが、便秘があり、不快で辛かった。	私は幸い吐き気や食欲不振にはなりませんでしたが、便秘ってヤツがこれほどまでに不快で辛いと思い知りました。
咳嗽と頭痛が出現し、もう長くないかもしれないと思った。	急に咳まで出てきて、頭がズキズキして、もう長くないかもしれない。
倦怠感があり、起き上がれない。	怠さで起き上がれない。
その後、刺されるような腹痛が出た。	その後、刺されるような腹痛。
異常発汗があり、冷汗で全身ぐっしょりだ。	個室でひとり脂汗と冷や汗で全身グッショリ。
食欲不振はなく、おやつにカップ麺をよく食べていて野菜を食べないのが心配という状況である。	食欲は変わりなく、おやつにカップ麺をよく食べていますが、お野菜を食べないのが心配の現状です。
顔面浮腫は変わらず、早く楽になりたいと思う。	顔の浮腫みは相変わらず変化なく、早く楽になりたい。
アリムタ維持療法は、倦怠感に負け、頑張って続けることもしなかった。	アリムタ維持療法も倦怠感に負けてしまい頑張って続ける事もしなかった。
服用後しばらくして激しい下痢に襲われ、仕事も休み、何も食べられずに自宅で数日寝ていた。	のみ始めてしばらくして、激しい下痢に襲われ仕事も休み、何も食べられずに家で数日寝ていました。
レントゲン画像からは、原発部の肺癌は過去最悪の状態に悪化し、腫瘍マーカーCEAも過去最高値に上昇し、治療の継続が困難な状況であった。	レントゲンでの原発部の肺は、過去最悪の悪化をしていたし、CEAも大きく過去最高値を更新する事態で、このまま治療を続行できない状況でした。
久々に38度台の発熱があり、現在はだいぶ落ち着いたが、寒いのに熱いという嫌な状況である。	熱が38度台まで久しぶりに出て今はだいぶ落ち着きましたが、寒いのに熱いという嫌な状況です。
鼻出血があり、発熱もあり、本当に退院できるのだろうか。	鼻血は出るし、熱は出るしで、これほんとに退院出来るのかなー。
肝機能悪化、ひどい下痢、光視症、味覚障害のため、食事がとれなかった。	まず肝機能の悪化ひどい下痢視角チカチカ味覚障害でご飯が全く食べれなくて。
抗がん剤治療は、3クール目、4クール目と回を重ねるごとに副作用が悪化し、10日間ほどは、倦怠感と食欲不振がありながら仕事をこなし、毎朝5時半起床、弁当や朝食の支度で消耗しながら、どうにか過ごしていた。	抗がん剤治療3クール目、4クール目と回を重ねるごとに副作用がひどく、10日間ぐらいは怠さと食欲不振がありながら仕事をこなし、子供たちの新生活も始まり毎朝5時半に起きてお弁当や朝ごはんの支度で、ヘロヘロになりながら何とか過ごしていました。
副作用は、昨夜8時頃から味覚障害が出て、今朝朝食後にしゃっくりが少し出た。	ちなみに副作用は昨晩8時頃から味覚障害と今朝、朝食後にしゃっくりが少し。
現在のところ吐き気はない。	吐き気はいまのところなく。
現時点で副作用は便秘ぐらいである。	私は今のところ副作用は便秘ぐらいです。
痛みを伴わない口内炎も出来た。	痛くない口内炎も出来ました。
発熱あり。	熱がある。
発熱があったが、下がってきたようだ。	熱下がってきたっぽい。
2日目〜5日目頃は、しゃっくりが止まらなかった。	まず、2日目〜5日目くらいは、シャックリが止まりませんでした。
今回も、今日の昼前頃からしゃっくりが出てきたため、再度処方してもらった。	今回も、今日の昼前くらいから、シャックリが出てきたので、また、処方してもらいました。
また、その頃から味覚異常が悪化した。	また、これくらいの時期から、ひどくなってきた味覚異常。
朝、吐き気があった。	朝、胸焼けぎみの軽く吐き気あり。
昼、閃輝暗点あり。	昼、なんか目がチカチカした。
朝、悪心があり、薬をもらう。	朝気持ち悪くなったので薬もらった。
夜、腰痛があり、鎮痛剤をもらう。	夜、腰が痛いので痛み止めもらう。
夜中、喉の奥や身体のそう痒のため目が覚めた。	夜中、喉の奥や身体が痒くて起きた。
朝起きたら腰痛があり、鎮痛剤をもらう。	朝、おきたら腰が痛かったから、痛みどめもらう。
倦怠感があった。	身体が全体的にだるい感じ。
咳嗽が少しあった。	咳がチョット出てる。
午前3時頃、全身にそう痒が出て、薬をもらう。	夜中、3時ぐらい全身にかゆみ、薬もらう。
ただし、そう痒がある。	ただ、身体が痒い。
抗がん剤の副作用に便秘があるが、便を軟らかくする薬で下痢に近い軟便が日に4～5回もあるため、服用量を自分で調整している。	抗がん剤の副作用として便秘があるが、便をやわらかくする薬で、下痢に近い軟便が日に4、5回もあるので、服用量を自分で調整している。
前回のイリノテカンでも結局腫瘍拡大し、腫瘍マーカーも上昇した。	前回のイリノテカンも結局、腫瘍の増大、マーカーも上がってきてしまったのもあり。
内服開始から2週間、徐々に副作用が出てきたが、肺炎の症状はない。	内服開始から２週間、徐々に副作用は出てきてるものの、肺炎らしき症状なし。
満月様顔貌はわずかに改善した気がする。	ムーンフェイスはほんの少しマシになった気はしている。
シスプラチン＋アリムタの治療を4クール受けたが、脱毛症は全く出ていない。	シスプラチン＆アリムタでは４クルーやったが全く脱毛なし。
脱毛症は、頭髪だけではなく、腕・脇・陰部・足等、全身に及んだ。	頭だけではなく腕・脇・あそこ・足と全身の毛が無くなっていった。
眉毛脱落がある。	眉毛もなくなった、これはいただけない。
先週の受診で前回より白血球増加があったため、アリムタ単剤の維持療法へ移行することになった。	先週の受診で前より白血球が増えてたので、アリムタ単剤の維持療法に移ることになった。
②倦怠感も以前より減った。	②倦怠感も前よりは減った。
最初は特に感じなかったが、4日目頃から倦怠感が強くなってきた。	始めは特に感じなかったけど、やっぱり4日目あたりから倦怠感が強くなってきた感じ。
骨髄抑制やステロイドによる浮腫のせいか、易疲労感がある。	骨髄抑制とか、ステロイドによる浮腫みのせいかな少し動くと、すぐに疲労。
最後のシスプラチン投与から2週間後であり、骨髄抑制の最中ではあった。	最後のシスプラチンを投与して2週間だったので、骨髄抑制真っ只中ではあったのですが。
副作用なのか、全身倦怠を感じ始めたので入浴して寝ることにする。	副作用なのかなんとなく全身ダル重を感じ始めたのでお風呂に入って寝ます。
嗅覚異常が出ている。	ニオイの副作用がヤバイのデス。
今回のイリノテカンでは、下痢と白血球減少があった。	今回のイリノテカンは下痢と白血球減少。
今回も前回同様、治療当日から悪心や倦怠感が出ている。	今回も前回同様、治療当日からムカムカ感とか倦怠感とか。
これを乗り切ればと思っていたが、今回は想像以上の腹痛と下痢が出ている。	これを乗り切ればって思ってたのに今回は想像以上の腹痛と下痢。
最近感じた倦怠感は副作用によるものらしい。	最近感じた全身の疲労感は副作用のせいらしい。
体重減少や高血圧、食欲低下も全部キイトルーダの副作用である。	痩せたことや血圧が高いこと、食欲が落ちたことも全部キイトルーダのせい。
吐き気もなく元気だった。	ムカムカもなく元気でした。
しかし約半年で悪化し、2013年7月、多数の脳転移と癌性髄膜炎の疑いがあり、アリムタ+シスプラチン+アバスチン、ランマークの治療(セカンドライン)に切り替え、腫瘍が縮小、2014年1月現在、シスプラチンを除いたアリムタ+アバスチンの維持療法2クール目が終了したところである。	しかし約半年で悪化し、2013年7月、脳に多くの転移が見つかり癌性髄膜炎の疑い、アリムタ+シスプラチン+アバスチン&ランマークの治療(セカンドライン)に切り替え、腫瘍が縮小、2014年1月現在、シスプラチンを除いたアリムタ+アバスチンの維持療法2クール目が終了したところです。
予想どおり、主治医の指示で顔面浮腫や倦怠感の原因と思われるベタメタゾンをさらに1錠減量することになった。	予想通りの、主治医の指示で顔のむくみや倦怠感の原因となっているだろう、ベタメタゾンを更に一錠減らす事になった。
ジェムザール単剤の副作用としては、主に発熱、貧血と食欲減退がある。	ジェム単剤の副作用としては主に発熱、貧血と食欲減退。
ジェムザール投与当日の夜は、たいてい40度近い発熱があり、3日後のCRP上昇の原因となっている。	ジェムザール投与当日の夜はほぼ40度近い発熱（3日後のCRP上昇の原因）。
初回投与後の発熱を見極めるため、わざわざ初回はジェムザールとずらしたが、投与当日、発熱は一切無く、その他に何も違和感は無かった。	初回投与後の発熱を見極める為、わざわざ初回はジェムとずらしたが、Day0では発熱は一切無し、他感覚的には何も違和感は無し。
先週24日（金）午前3時、寝苦しさで目覚めると、38.5度の発熱があったが、午前9時には平熱に下がったため、通院して、CT検査、胸部X線検査、血液検査を無事終えた。	先週の２４日（金）、日付が変わって夜中の三時、寝苦しさに目を覚ましてしまって、あるいはと体温計測したら３８．５度、朝の９時には平熱に下がったのでＣＴ検査、胸部Ｘ線、血液検査に通院して多少あれこれあったものの検査は無事終了。
体温は平熱で推移していたが、25日（土）深夜、再度発熱。	体温も平熱で推移していたので相変わらず律儀な副作用だと思っていたのですが、あにはからんや２５日（土）真夜中にまた発熱。
そして26日夕、再び平熱に戻ったが、夕方から再度発熱。	さらに２６日の夕方には再び平熱にもどったんですが夕方からまたもや発熱。
発熱とともに、足のしびれ感、関節痛、筋肉痛があり、加えて息切れがあり、自分の体に何が起こっているのか不安を抱えながら、検査結果を聞くため病院へ行った。	発熱とともに両脚の痺れ、関節痛、筋肉痛、それにくわえて息切れで自分の躰になにが起こってるのか不安を抱えながら検査結果をお伺いするために病院へ。
ジオトリフの副作用で顔に皮膚剥離があり、外出できず、うつになるほどで、皮膚科を2軒受診した。	ジオトリフで、外出出来なくて、うつなる程皮膚が筋肉が顔全部はがれてしまい、皮膚科二軒いきました。
症状は、手指と足のしびれ感、両足の脱力感、歩行困難、右肩の痛み、リンパ腺の腫れである。	症状、左手2指、両足先の痺れ、両足の脱力感、歩行困難右肩の痛みとリンパ腺の腫れ。
排便は3～4回あるが、下痢便である。	通じは３～４回あるも下痢便。
5日目、朝から貧血の症状が出ている。	5日目、ここまでくれば、と思った矢先、朝から何となく貧血気味。
吐き気は無いが、食欲不振で、ベッドから起きていられない。	気持ち悪さは無いのですが、食欲も全くなく、ベットから起きてられません。
20時頃、気持ち悪さのピークが急襲し、血圧低下、大量発汗があり（中略）、看護師たちに緊急手当てを頼んだ。	そして夜、20時ごろ気持ち悪さピークが急襲し、血圧も下がり、発汗も大量に出て（途中省略）看護師さんたちに緊急手当てをお願いする羽目になりました。
その後3日間ほど、若干吐き気が残っていたが、ノバミン（制吐剤）等で対処した。	その後、3日位若干吐き気残るもノバミン（制吐剤）などで対処。
気管の炎症を抑えるための貼付薬ツロブテロールは、副作用の手の震えと脱力感が気になるため、時間を短縮して(朝から夜までの日中12時間程度)貼っている。	気管の炎症を抑える為の貼り薬ツロブテロールは、副作用の手の震えと脱力感(手に力が入らない)が気持ち悪い為、時短(朝から夜までの日中12時間程度)で貼ってます。
ツロブテロールを貼っていない時間帯にも、咳嗽はほとんどなくなった。	ツロブテロールを貼っていない時間帯にも、咳はほとんど出なくなりましたョ。
発病後初めての運動会(当時息子は2年生)は、シスプラチン投与2週間後で、骨髄抑制がひどく、白血球減少が出ている時期だった。	発病後初めての運動会(当時息子は2年生)はシスプラチンの投与、2週間後で骨髄抑制が酷く、白血球が底でした。
まだ吐き気はないが、これから出てくるのだろう。	まだ吐き気は有りませんが、これから出てくるでしょうね。
若干胃もたれ感がある。	若干胃もたれって感じしてますから。
主治医の言葉どおり、吐き気も倦怠感も何もない。	主治医の言葉通り、吐き気もダルさも何もなく。
点滴後、最初に味覚障害を発症し、何を食べても砂のような感じが4～5日続く。	点滴してからまず味覚障害、何を食べても砂の様な感じ、４、５日続く。
吐き気というか消化不良、1週間は食欲不振がある。	吐き気というか胃もたれ的な消化不良、１週間はほぼ食事をしたくない感じ。
満月様顔貌、脚力等、特に変化はないが、今日は体調不良である。	ムーンフェイス、脚力等、特に変化なしだが、今日は体調があまり良くない。
頭痛もしてきた。	頭痛もしてきた。
骨髄抑制は食事による改善が難しく、体感とは別ものである。	骨髄抑制は食での改善は難しく体感とは、別もの。
時々歯痛がある。	歯も時々痛む。
それによって便秘が出始めた。	これにより、それまでより便が固くなり始めた。
便秘の対処としてマグラックスを追加したが、便秘に奏功しないためセンノシドも追加。	この対処としてマグラックスが加わったが、効き目が感じられないためセンノシドを追加。
それでも便秘が解消せず、昨日の長時間の点滴開始までに、座薬による強制排便を依頼した。	それでも出ないため昨日の長時間点滴が始まるまでに、座薬での強制排便をお願いした。
ただし、朝から口内乾燥がある。	ただ朝から口が乾いてきて、今は口の中がモヤっとした感がある。
骨髄抑制が出ている最中である。	私は、骨髄抑制絶賛展開中。
現在、抗がん剤終了後7時間半経過、ほてりがある。	今、抗がん剤終了から７時間半経ちましたが、体がぽっぽと熱いです。
発熱はない。	熱はありません。
倦怠感、吐き気等はない。	他は倦怠感、吐き気などありません。
2013年3月に脳転移。	2013年3月脳に転移する。
その後に撮影した脳転移も増大しているとのことである。	その後に撮影した脳転移も大きくなっているとのこと。
